language,model,term,layer,proj,cosdiff
es,xlm-roberta-base,arquitecto,11,1.0791581869125366,0.005167484283447266
es,xlm-roberta-base,arquitecto,12,0.2628380060195923,0.0005851984024047852
es,xlm-roberta-base,ingeniera,0,-0.06512519717216492,-0.009849905967712402
es,xlm-roberta-base,ingeniera,1,-0.7015604376792908,-0.0244939923286438
es,xlm-roberta-base,ingeniera,2,-1.677241563796997,-0.008347272872924805
es,xlm-roberta-base,ingeniera,3,-1.3275636434555054,-0.0065531134605407715
es,xlm-roberta-base,ingeniera,4,-0.5237456560134888,-0.002926051616668701
es,xlm-roberta-base,ingeniera,5,-0.7150107622146606,-0.006767630577087402
es,xlm-roberta-base,ingeniera,6,-0.23866891860961914,-0.013404369354248047
es,xlm-roberta-base,ingeniera,7,0.1263599395751953,-0.009892702102661133
es,xlm-roberta-base,ingeniera,8,-0.3095129132270813,-0.00923389196395874
es,xlm-roberta-base,ingeniera,9,0.8809447884559631,-0.007299542427062988
es,xlm-roberta-base,ingeniera,10,-0.9282352924346924,-0.011012136936187744
es,xlm-roberta-base,ingeniera,11,-1.166383147239685,-0.010994017124176025
es,xlm-roberta-base,ingeniera,12,-0.14649280905723572,-0.0006408095359802246
