language,model,term,layer,proj,cosdiff
es,facebook/xlm-v-base,estudiante,12,3.148005485534668,1.609325408935547e-05
es,facebook/xlm-v-base,abogado,0,1.0592222213745117,0.10775437951087952
es,facebook/xlm-v-base,abogado,1,1.74068284034729,0.06447708606719971
es,facebook/xlm-v-base,abogado,2,1.8791091442108154,0.042226314544677734
es,facebook/xlm-v-base,abogado,3,1.9278082847595215,0.02341693639755249
es,facebook/xlm-v-base,abogado,4,1.6518054008483887,0.02741175889968872
es,facebook/xlm-v-base,abogado,5,1.2945075035095215,0.037043750286102295
es,facebook/xlm-v-base,abogado,6,1.7222273349761963,0.017096996307373047
es,facebook/xlm-v-base,abogado,7,2.0381007194519043,0.014206528663635254
es,facebook/xlm-v-base,abogado,8,1.8827781677246094,0.010961353778839111
es,facebook/xlm-v-base,abogado,9,1.7680788040161133,0.0110243558883667
es,facebook/xlm-v-base,abogado,10,1.1628711223602295,0.007438957691192627
es,facebook/xlm-v-base,abogado,11,1.0563616752624512,0.006887674331665039
es,facebook/xlm-v-base,abogado,12,3.1678926944732666,0.00019806623458862305
es,facebook/xlm-v-base,enfermero,0,1.5144071578979492,0.12976863980293274
es,facebook/xlm-v-base,enfermero,1,1.6679117679595947,0.06005990505218506
es,facebook/xlm-v-base,enfermero,2,1.328232765197754,0.029646754264831543
es,facebook/xlm-v-base,enfermero,3,1.5415153503417969,0.017363250255584717
es,facebook/xlm-v-base,enfermero,4,1.1195495128631592,0.016940772533416748
es,facebook/xlm-v-base,enfermero,5,0.7279350161552429,0.02060800790786743
es,facebook/xlm-v-base,enfermero,6,1.481865644454956,0.014171421527862549
es,facebook/xlm-v-base,enfermero,7,1.5725719928741455,0.008709073066711426
es,facebook/xlm-v-base,enfermero,8,1.4241361618041992,0.006530344486236572
es,facebook/xlm-v-base,enfermero,9,1.3036136627197266,0.006504833698272705
es,facebook/xlm-v-base,enfermero,10,0.5808280110359192,0.0022693276405334473
es,facebook/xlm-v-base,enfermero,11,0.32346051931381226,0.001386404037475586
es,facebook/xlm-v-base,enfermero,12,3.0425145626068115,-9.870529174804688e-05
es,facebook/xlm-v-base,agricultor,0,1.3874454498291016,0.1341593861579895
es,facebook/xlm-v-base,agricultor,1,2.206326961517334,0.08451610803604126
es,facebook/xlm-v-base,agricultor,2,2.1136298179626465,0.04762673377990723
es,facebook/xlm-v-base,agricultor,3,2.525759220123291,0.03207743167877197
es,facebook/xlm-v-base,agricultor,4,2.1549110412597656,0.036430418491363525
es,facebook/xlm-v-base,agricultor,5,1.6906405687332153,0.047753214836120605
es,facebook/xlm-v-base,agricultor,6,2.318591356277466,0.025425493717193604
