language,model,term,layer,proj,cosdiff
es,microsoft/mdeberta-v3-base,agricultor,5,0.50390625,0.04443359375
es,microsoft/mdeberta-v3-base,agricultor,6,0.8017578125,0.06005859375
es,microsoft/mdeberta-v3-base,agricultor,7,0.693359375,0.04296875
es,microsoft/mdeberta-v3-base,agricultor,8,0.49755859375,0.03466796875
es,microsoft/mdeberta-v3-base,agricultor,9,0.470703125,0.01953125
es,microsoft/mdeberta-v3-base,agricultor,10,0.18017578125,0.02392578125
es,microsoft/mdeberta-v3-base,agricultor,11,-0.58056640625,-0.005859375
es,microsoft/mdeberta-v3-base,agricultor,12,6.7109375,0.005859375
es,microsoft/mdeberta-v3-base,profesor,0,1.0166015625,0.09490966796875
es,microsoft/mdeberta-v3-base,profesor,1,1.298828125,0.075927734375
es,microsoft/mdeberta-v3-base,profesor,2,0.72412109375,0.05859375
es,microsoft/mdeberta-v3-base,profesor,3,0.6591796875,0.05322265625
es,microsoft/mdeberta-v3-base,profesor,4,0.73974609375,0.060546875
es,microsoft/mdeberta-v3-base,profesor,5,0.6650390625,0.048828125
es,microsoft/mdeberta-v3-base,profesor,6,0.265869140625,0.03076171875
es,microsoft/mdeberta-v3-base,profesor,7,0.29345703125,0.02294921875
es,microsoft/mdeberta-v3-base,profesor,8,0.2021484375,0.02099609375
es,microsoft/mdeberta-v3-base,profesor,9,0.43505859375,0.01806640625
es,microsoft/mdeberta-v3-base,profesor,10,0.1566162109375,0.0224609375
es,microsoft/mdeberta-v3-base,profesor,11,-0.484375,-0.00439453125
es,microsoft/mdeberta-v3-base,profesor,12,1.4755859375,-0.01220703125
es,microsoft/mdeberta-v3-base,mecánico,0,0.0760498046875,0.01629638671875
es,microsoft/mdeberta-v3-base,mecánico,1,0.360107421875,0.0341796875
es,microsoft/mdeberta-v3-base,mecánico,2,-0.291259765625,0.021484375
es,microsoft/mdeberta-v3-base,mecánico,3,-0.2459716796875,0.0205078125
es,microsoft/mdeberta-v3-base,mecánico,4,0.04608154296875,0.02978515625
es,microsoft/mdeberta-v3-base,mecánico,5,0.53466796875,0.041015625
es,microsoft/mdeberta-v3-base,mecánico,6,0.488525390625,0.040283203125
es,microsoft/mdeberta-v3-base,mecánico,7,0.67919921875,0.04296875
es,microsoft/mdeberta-v3-base,mecánico,8,0.58203125,0.0390625
es,microsoft/mdeberta-v3-base,mecánico,9,0.46728515625,0.01904296875
es,microsoft/mdeberta-v3-base,mecánico,10,0.10662841796875,0.0185546875
es,microsoft/mdeberta-v3-base,mecánico,11,0.86083984375,0.0107421875
es,microsoft/mdeberta-v3-base,mecánico,12,8.2734375,0.0126953125
es,microsoft/mdeberta-v3-base,cocinero,0,-0.332763671875,-0.0238037109375
es,microsoft/mdeberta-v3-base,cocinero,1,-0.1663818359375,-0.001708984375
es,microsoft/mdeberta-v3-base,cocinero,2,-0.378173828125,0.021484375
es,microsoft/mdeberta-v3-base,cocinero,3,-0.34326171875,0.01953125
es,microsoft/mdeberta-v3-base,cocinero,4,-0.08367919921875,0.02880859375
es,microsoft/mdeberta-v3-base,cocinero,5,0.21435546875,0.03271484375
es,microsoft/mdeberta-v3-base,cocinero,6,-0.0386962890625,0.01318359375
es,microsoft/mdeberta-v3-base,cocinero,7,0.1402587890625,0.015625
es,microsoft/mdeberta-v3-base,cocinero,8,-0.047637939453125,0.00927734375
es,microsoft/mdeberta-v3-base,cocinero,9,0.01068878173828125,0.00390625
es,microsoft/mdeberta-v3-base,cocinero,10,-0.2496337890625,0.00439453125
es,microsoft/mdeberta-v3-base,cocinero,11,-1.310546875,-0.01416015625
es,microsoft/mdeberta-v3-base,cocinero,12,4.20703125,-0.0029296875
es,microsoft/mdeberta-v3-base,minero,0,0.978515625,0.14599609375
es,microsoft/mdeberta-v3-base,minero,1,0.96044921875,0.09130859375
es,microsoft/mdeberta-v3-base,minero,2,0.302001953125,0.0517578125
es,microsoft/mdeberta-v3-base,minero,3,0.046295166015625,0.03466796875
es,microsoft/mdeberta-v3-base,minero,4,0.469970703125,0.0517578125
es,microsoft/mdeberta-v3-base,minero,5,0.84228515625,0.0576171875
es,microsoft/mdeberta-v3-base,minero,6,0.28271484375,0.0302734375
es,microsoft/mdeberta-v3-base,minero,7,0.43798828125,0.03173828125
